artist,album,release_date,ratings
NE-HI,Offers,17/03/2017,6.9
Shobaleader One,Elektrac,17/03/2017,5.7
GRID,GRID,17/03/2017,7.1
Spoon,Hot Thoughts,16/03/2017,7.4
Your Old Droog,Packs,16/03/2017,7.7
Sarah Davachi,All My Circles Run,16/03/2017,7.3
Dayme Arocena,Cubafonia,16/03/2017,7.6
Hurray for the Riff Raff,The Navigator,15/03/2017,8.1
Drexciya,Grava 4,15/03/2017,7.6
Parlor Walls,Opposites,15/03/2017,7.5
Jean-Michel Blais,Cascades,15/03/2017,7.3
Conor Oberst,Salutations,14/03/2017,6.6
Laura Marling,Semper Femina,14/03/2017,7.7
Buzzcocks,Time's Up,14/03/2017,8.2
Lil Durk,Love Songs for the Streets,14/03/2017,7.1
The Shins,Heartworms,13/03/2017,7.6
Midori Takada,Through the Looking Glass,13/03/2017,8.7
Tennis,Yours Conditionally,13/03/2017,6.4
Children of Alice,Children of Alice,13/03/2017,7.3
Elucid,Valley of Grace,13/03/2017,7.5
Thelonious Monk,Monk's Music,12/03/2017,9.1
Fleetwood Mac,Tango in the Night: Deluxe Edition,11/03/2017,8.7
Roc Marciano,Rosebudd's Revenge,11/03/2017,8
Blanck Mass,World Eater,11/03/2017,8.1
Jose James,Love in a Time of Madness,11/03/2017,7.3
Jay Som,Everybody Works,10/03/2017,8.6
Ed Sheeran,Divide,10/03/2017,2.8
Steve Lacy,Steve Lacy's Demo,10/03/2017,7.4
Rolling Blackouts Coastal Fever,The French Press,10/03/2017,8.1
John Carpenter,The Thing OST,10/03/2017,7.2
The Notorious B.I.G.,Ready to Die,09/03/2017,10
The Notorious B.I.G.,Life After Death,09/03/2017,9.5
Puff Daddy & the Family,No Way Out,09/03/2017,7.8
The Notorious B.I.G.,Born Again,09/03/2017,6
Grandaddy,Last Place,08/03/2017,6
Immolation,Atonement,08/03/2017,7.7
Elliott Smith,Either/Or: Expanded Edition,07/03/2017,10
WHY?,Moh Lhean,07/03/2017,7.7
Erasmo Carlos,Erasmo Carlos E Os Tremendoes,07/03/2017,9
Ibibio Sound Machine,Uyai,07/03/2017,7
The Magnetic Fields,50 Song Memoir,06/03/2017,7.4
Peter Silberman,Impermanence,06/03/2017,6.9
DJ Seinfeld,Sunrise EP,06/03/2017,6.9
Sleaford Mods,ENGLiSH TAPAS,06/03/2017,7.9
DMX,It's Dark and Hell Is Hot,05/03/2017,9
Clap Your Hands Say Yeah,The Tourist,04/03/2017,7.5
Cameron Graves,Planetary Prince,04/03/2017,7.7
Career Suicide,Machine Response,04/03/2017,7.5
Various Artist,"Outro Tempo: Electronic and Contemporary Music From Brazil, 1978-1992",04/03/2017,8.8
Future,HNDRXX,03/03/2017,7.8
PC Worship,Buried Wish,03/03/2017,7.3
Aseethe,Hopes of Failure,03/03/2017,6
Dams of the West,Youngish American,03/03/2017,4.6
Vagabon,Infinite Worlds,02/03/2017,8.5
Oddisee,The Iceberg,02/03/2017,7
Sherwood & Pinch,Man Vs. Sofa,02/03/2017,6.7
Karriem Riggins,Headnod Suite,02/03/2017,7.3
Power Trip,Nightmare Logic,01/03/2017,8.4
Los Campesinos!,Sick Scenes,01/03/2017,7.6
Pissed Jeans,Why Love Now,01/03/2017,7.9
Xiu Xiu,FORGET,01/03/2017,6.4
Sun Kil Moon,Common as Light and Love Are Red Valleys of Blood,28/02/2017,6.5
Stormzy,Gang Signs & Prayer,28/02/2017,7.6
Entrance,Book of Changes,28/02/2017,7.4
Six Organs of Admittance,Burning the Threshold,28/02/2017,8.1
Flume,Skin Companion EP II,28/02/2017,5.8
Thundercat,Drunk,27/02/2017,8.5
The Feelies,In Between,27/02/2017,8
Jonwayne,Rap Album Two,27/02/2017,7.6
Six by Seven,The Closer You Get,27/02/2017,8
Weezer,Weezer (Blue Album),26/02/2017,10
Kingdom,Tears in the Club,25/02/2017,6.7
King Gizzard & The Lizard Wizard,Flying Microtonal Banana,25/02/2017,7.4
Grails,Chalice Hymnal,25/02/2017,7.7
Alison Krauss,Windy City,25/02/2017,5.9
Dirty Projectors,Dirty Projectors,24/02/2017,7.8
Crystal Fairy,Crystal Fairy,24/02/2017,7.7
Various Artist,Oz Waves: Compiled by Steele Bonus,24/02/2017,7.6
Wild Pink,Wild Pink,24/02/2017,7.3
Future,FUTURE,23/02/2017,7.3
Strand of Oaks,Hard Love,23/02/2017,6.5
Rhiannon Giddens,Freedom Highway,23/02/2017,7.6
Tim Darcy,Saturday Night,23/02/2017,7
Jidenna,The Chief,22/02/2017,5.8
Jens Lekman,Life Will See You Now,22/02/2017,8
Vermont,II,22/02/2017,6.8
SiR,Her Too EP,22/02/2017,7.6
Bing & Ruth,No Home of the Mind,21/02/2017,8.2
Moon Duo,Occult Architecture Vol. 1,21/02/2017,7.1
Call Super,Fabric 92,21/02/2017,7.6
Earthen Sea,An Act of Love,21/02/2017,8.1
Mozart's Sister,Field of Love,21/02/2017,7.6
Visible Cloaks,Reassemblage,20/02/2017,8.7
Fat Joe,Plata O Plomo,20/02/2017,5.3
Fatima Yamaha,Araya EP,20/02/2017,6.8
Amnesia Scanner,AS TRUTH,20/02/2017,8
Neil Young,Trans,19/02/2017,7.8
Tinariwen,Elwan,18/02/2017,8.2
The Necks,Unfold,18/02/2017,8
Noveller,A Pink Sunset For No One,18/02/2017,6.5
Sallie Ford,Soul Sick,18/02/2017,7.1
Animal Collective,<i>The Painters</i> EP,17/02/2017,6.1
King Woman,Created in the Image of Suffering,17/02/2017,8.2
Young Marco,Selectors,17/02/2017,7.9
Meatbodies,Alice,17/02/2017,6.3
Paul White [ft. Danny Brown],Accelerator,16/02/2017,6.9
Maggie Rogers,Now That the Light Is Fading,16/02/2017,6.5
Craig Taborn,Daylight Ghosts,16/02/2017,8.2
Lowly,Heba,16/02/2017,7.8
Ryan Adams,Prisoner,15/02/2017,6.2
Hand Habits,Wildly Idle (Humble Before the Void),15/02/2017,7.6
Quelle Chris,"Being You Is Great, I Wish I Could Be You More Often",15/02/2017,7.6
Mind Over Mirrors,Undying Color,15/02/2017,6.8
Lupe Fiasco,DROGAS Light,14/02/2017,7.4
Various Artist,Studio One Rocksteady 2: The Soul of Young Jamaica,14/02/2017,8.4
The Orwells,Terrible Human Beings,14/02/2017,5.8
Fire-Toolz,Drip Mental,14/02/2017,6.7
Ornette Coleman,Celebrate Ornette,13/02/2017,8.1
The Other People Place,Lifestyles of the Laptop Cafe,13/02/2017,8.8
Jesca Hoop,Memories Are Now,13/02/2017,7.3
Various Artist,Africa Airways Three: The Afro-Psych Excursion 1972-1984,13/02/2017,7.8
Jim O'Rourke,Bad Timing,12/02/2017,9.1
Le Car,Auto-Reverse,11/02/2017,6.8
Stef Chura,Messes,11/02/2017,7.2
Communions,Blue,11/02/2017,6.5
Differ-Ent,It's Good to Be Differ-Ent,11/02/2017,6.5
Surfer Blood,Snowdonia,10/02/2017,6.9
Palberta,Bye Bye Berta,10/02/2017,7.7
Trevor de Brauw,Uptown,10/02/2017,7.3
Pillorian,Obsidian Arc,10/02/2017,6.8
Big Sean,I Decided.,09/02/2017,6.3
Elbow,Little Fictions,09/02/2017,7.1
Matt Martians,The Drum Chord Theory,09/02/2017,6
Emptyset,Borders,09/02/2017,7.4
Syd,Fin,08/02/2017,8.1
The Menzingers,After the Party,08/02/2017,6.5
Teen Daze,Themes for Dying Earth,08/02/2017,7.5
Sinkane,Life & Livin' It,08/02/2017,7.3
Carsten Jost,Perishable Tactics,08/02/2017,7
Various Artist,T2 Trainspotting Soundtrack,07/02/2017,7.5
Porcelain Raft,Microclimate,07/02/2017,6.7
Black Joe Lewis & the Honeybears,Backlash,07/02/2017,6
Matthew Shipp Trio,Piano Song Trio,07/02/2017,7.2
RAMZi,"Phobiza ""Noite"" Vol. 2",07/02/2017,7.6
Julie Byrne,Not Even Happiness,06/02/2017,8.3
Mega Bog,Happy Together,06/02/2017,7.4
Tobin Sprout,The Universe and Me,06/02/2017,6.7
Oso Oso,The Yunahon Mixtape,06/02/2017,7.8
M. Lamar,Funeral Doom Spiritual,06/02/2017,7.7
Bjork,Homogenic,05/02/2017,10
Various Artist,New Gen,04/02/2017,7.9
Mozzy,Fake Famous,04/02/2017,7.1
Iron Reagan,Crossover Ministry!,04/02/2017,6.7
Neill Von Tally,Bone Music,04/02/2017,7.2
Sampha,Process,03/02/2017,8.6
Allison Crutchfield,Tourist in This Town,03/02/2017,7.8
Homeshake,Fresh Air,03/02/2017,7.3
K. Leimer,Land of Look Behind,03/02/2017,8.2
Sleater-Kinney,Sleater-Kinney: Live in Paris,02/02/2017,8.3
Strawberry Switchblade,1982 4-Piece Demo,02/02/2017,7
Rose Elinor Dougall,Stellular,02/02/2017,7.2
BANANA,Live,02/02/2017,6.6
Priests,Nothing Feels Natural,01/02/2017,8.5
Urochromes,Night Bully EP,01/02/2017,7.8
Cuddle Magic,Ashes/Axis,01/02/2017,7.3
Age Coin,Performance,01/02/2017,6.3
Migos,Culture,31/01/2017,8.1
Wiley,Godfather,31/01/2017,7.4
Various Artist,Sensate Silk,31/01/2017,7.8
Los Lichis,Dog,31/01/2017,8
Landlady,The World Is a Loud Place,31/01/2017,7.6
Kehlani,SweetSexySavage,30/01/2017,7
CEP,Drawing the Target Around the Arrow,30/01/2017,7
Max Richter,Three Worlds: Music From Woolf Works,30/01/2017,7.4
Egyptrixx,"Pure, Beyond Reproach",30/01/2017,6.7
Various Artist,Dreamy Harbor,30/01/2017,7.2
Pet Shop Boys,Behaviour,29/01/2017,8.5
Tomorrow's People,Open Soul,28/01/2017,6.8
Delicate Steve,This Is Steve,28/01/2017,7.3
Jansport J,p h a r a o h,28/01/2017,7.6
Fufanu,Sports,28/01/2017,7.3
Ariel Pink,Myths 002 EP,27/01/2017,6.6
Pinegrove,Elsewhere,27/01/2017,7.5
P.O.S,"Chill, dummy",27/01/2017,7.4
Jefe,The World Is Yours,27/01/2017,6.9
Cloud Nothings,Life Without Sound,26/01/2017,7
Mark Eitzel,Hey Mr Ferryman,26/01/2017,8.1
Vitalic,Voyager,26/01/2017,5.4
Buscabulla,EP II,26/01/2017,7.5
Ty Segall,Ty Segall,25/01/2017,8
Kodie Shane,Big Trouble Little Jupiter,25/01/2017,7.1
Sinai Vessel,Brokenlegged,25/01/2017,7.7
Cherry Glazerr,Apocalipstick,25/01/2017,7.4
Japandroids,Near to the Wild Heart of Life,24/01/2017,7.1
Matthew Dear,DJ-Kicks,24/01/2017,7.4
Of Montreal,Rune Husk EP,24/01/2017,5.4
Trouble,Year in 2016,24/01/2017,6.9
Richard Pinhas,Reverse,24/01/2017,7.2
Trey Songz,Anticipation 3,23/01/2017,7.3
Kreator,Gods of Violence,23/01/2017,6.2
Bell Biv Devoe,Three Stripes,23/01/2017,5.5
PnB Rock,GTTM: Goin Thru the Motions,23/01/2017,6.6
Phil Ochs,I Ain't Marching Anymore,22/01/2017,8.5
Austra,Future Politics,21/01/2017,7.4
Stefflon Don,Real Ting,21/01/2017,6
Naaahhh,Themes EP,21/01/2017,6.2
Shackleton,Sferic Ghost Transmits,21/01/2017,8
Angelo Badalamenti,Twin Peaks: Fire Walk With Me OST,20/01/2017,8.4
Various Artist,I Said No Doctors!,20/01/2017,6.2
Tornado Wallace,Lonely Planet,20/01/2017,7.2
Gabriel Garzon-Montano,Jardin,20/01/2017,7.4
Grateful Dead,The Grateful Dead: 50th Anniversary Deluxe Edition,19/01/2017,6.9
Mr. Tophat,Trust Me EP,19/01/2017,7.1
Bash & Pop,Anything Could Happen,19/01/2017,7
Botany,Raw Light II,19/01/2017,6.9
The Flaming Lips,Oczy Mlody,18/01/2017,6.2
Kid Koala,Music to Draw to: Satellite,18/01/2017,6.3
Shintaro Sakamoto,Love If Possible,18/01/2017,7.8
The Proper Ornaments,Foxhole,18/01/2017,7.4
Sheer Mag,Compilation LP,17/01/2017,8.3
Joan of Arc,He's Got the Whole This Land Is Your Land in His Hands,17/01/2017,3.8
Fred Thomas,Changer,17/01/2017,7.1
Tim Cohen,Luck Man,17/01/2017,6.5
Wharfer,Scenes of the Tourist,17/01/2017,6.7
Foxygen,Hang,16/01/2017,7
Dear Nora,Mountain Rock,16/01/2017,8.3
Uniform,Wake in Fright,16/01/2017,8
Half Japanese,Hear the Lions Roar,16/01/2017,6.9
X-Ray Spex,Germfree Adolescents,15/01/2017,10
Funkadelic,"Live - Meadowbrook, Rochester, Michigan - 12th September 1971",14/01/2017,8
Bonobo,Migration,14/01/2017,7.3
Michael Chapman,50,14/01/2017,7.7
Sepultura,Machine Messiah,14/01/2017,6.2
William Basinski,A Shadow in Time,13/01/2017,7.9
Chief Keef,Two Zero One Seven,13/01/2017,7.3
Tory Lanez,Chixtape 4,13/01/2017,4.5
Suicideyear,Brothers,13/01/2017,6.8
The xx,I See You,12/01/2017,8.4
Flo Morrissey,"Gentlewoman, Ruby Man",12/01/2017,6.4
AFI,AFI (The Blood Album),12/01/2017,5
A Winged Victory for the Sullen,Iris OST,12/01/2017,5.9
Nine Inch Nails,The Fragile (2017 Definitive Edition),11/01/2017,8.7
Yo Gotti,White Friday (CM9),11/01/2017,6.8
9T Antiope,Of Murk and Shallow Water EP,11/01/2017,7.8
Black Anvil,As Was,11/01/2017,7.5
Various Artist,"Doing It in Lagos: Boogie, Pop & Disco in 1980s Nigeria",10/01/2017,8.5
Kool A.D.,The Natural,10/01/2017,6.7
Superficie,Helices EP,10/01/2017,7.6
Anthony Braxton,Duo (DCWM) 2013,10/01/2017,7.3
T.I.,Us or Else: Letter to the System,09/01/2017,7
Chavez,Cockfighters EP,09/01/2017,7.2
Code Orange,Forever,09/01/2017,7.5
G Herbo,Strictly 4 My Fans,09/01/2017,7.5
Massive Attack,Mezzanine,08/01/2017,9.3
Krallice,Prelapsarian,07/01/2017,7.9
Uranium Club,All of Them Naturals,07/01/2017,7.3
Kleenex,First Songs,06/01/2017,9
Taso,New Start,06/01/2017,8.1
Various Artist,Insecure (Music From the HBO Original Series),05/01/2017,7.4
Little Simz,Stillness in Wonderland,05/01/2017,7.1
Yotam Avni,Tehillim,05/01/2017,7
Brian Eno,Reflection,04/01/2017,7.7
The Lox,Filthy America... It's Beautiful,04/01/2017,5.3
Harry Bertoia,Clear Sounds/Perfetta,04/01/2017,8
Run the Jewels,Run the Jewels 3,03/01/2017,8.6
Steven Warwick,Nadir,03/01/2017,7.6
Yasiin Bey,December 99th,02/01/2017,3.5
Smoke DZA,Don't Smoke Rock,02/01/2017,7.4
Various Artist,Punk45: Les Punks: The French Connection (The First Wave of French Punk 1977-80),02/01/2017,6.6
Senyawa,Bronshoj (Puncak),02/01/2017,7.4
Chance the Rapper,Merry Christmas Lil' Mama,30/12/2016,8.1
Jamire Williams,///// Effectual,30/12/2016,7.2
The-Dream,Love You to Death,29/12/2016,7
Worm Ouroboros,What Graceless Dawn,29/12/2016,7.5
Nine Inch Nails,Not the Actual Events EP,28/12/2016,6.3
Elder Ones,Holy Science,28/12/2016,7.8
The Microphones,"EARLY TAPES, 1996-1998",27/12/2016,6.5
Ben Frost,The Wasp Factory,27/12/2016,7.3
Kacey Musgraves,A Very Kacey Christmas,23/12/2016,6.8
Jay Som,Turn Into,23/12/2016,8.2
Rashad Becker,Traditional Music of Notional Species Vol. II,23/12/2016,6.8
Ray Charles,Swiss Radio Days Vol. 41 - Zurich 1961,22/12/2016,9
Ab-Soul,Do What Thou Wilt.,22/12/2016,4.4
Pantera,The Great Southern Trendkill,22/12/2016,7.7
Gucci Mane,The Return of East Atlanta Santa,21/12/2016,7.6
Mica Levi,Jackie OST,21/12/2016,7.1
Kid Cudi,"Passion, Pain & Demon Slayin'",20/12/2016,6.7
Sammus,Pieces in Space,20/12/2016,7.2
Hodgy,Fireplace: TheNotTheOtherSide,19/12/2016,5
Jeff Parker,Slight Freedom,19/12/2016,8
A-Trak,In the Loop: A Decade of Remixes,17/12/2016,6.4
Jess Williamson,Heart Song,17/12/2016,7.7
Kevin Abstract,American Boyfriend: A Suburban Love Story,17/12/2016,6.4
ADR,Throat,17/12/2016,7.1
Deadmau5,W:/2016ALBUM/,16/12/2016,5.9
Jessy Lanza,Oh No No No Remixes EP,16/12/2016,6.5
Peter Broderick,Grunewald,16/12/2016,6.7
Qasim Naqvi,Chronology,16/12/2016,7.5
Post Malone,Stoney,15/12/2016,4.5
Bob Dylan,Bob Dylan: The 1966 Live Recordings,15/12/2016,9.3
Ricardo Villalobos,Melo De Melo EP,15/12/2016,7
Peder Mannerfelt,Equality Now EP,15/12/2016,7.1
J. Cole,4 Your Eyez Only,14/12/2016,6.7
Pink Floyd,The Early Years 1965-1972,14/12/2016,8.8
Flume,Skin Companion EP I,14/12/2016,6.6
Gaye Su Akyol,Hologram Imparatorlugu,14/12/2016,7.4
Jeff Buckley,Sketches For My Sweetheart The Drunk,11/12/2016,8
Various Artist,The Hamilton Mixtape,10/12/2016,4.8
Saba,Bucket List Project,10/12/2016,7
Various Artist,Bobo Yeye: Belle Epoque in Upper Volta,10/12/2016,8.4
Simian Mobile Disco,Welcome To Sideways,10/12/2016,6.8
GAS,BOX,09/12/2016,9.5
Kodie Shane,Zero Gravity EP,09/12/2016,7.8
The Orchestra of Syrian Musicians,Africa Express Presents... The Orchestra of Syrian Musicians & Guests,09/12/2016,8
Blessed Initiative,Blessed Initiative,09/12/2016,7.5
Neil Young,Peace Trail,08/12/2016,6.7
Soundgarden,Badmotorfinger,08/12/2016,8.3
Nick Hook,Relationships,08/12/2016,7
Kjartan Sveinsson,Der Klang der Offenbarung des Gottlichen,08/12/2016,7.8
The Rolling Stones,Blue & Lonesome,07/12/2016,6.9
Gucci Mane,1017 vs. The World,07/12/2016,6.8
Young Male,How to Disappear in America,07/12/2016,7.4
Alex Izenberg,Harlequin,07/12/2016,6.3
Childish Gambino,"""Awaken, My Love!""",06/12/2016,7.2
Fetty Wap,Zoovier,06/12/2016,6.4
Miranda Lambert,The Weight of These Wings,06/12/2016,7.8
Denitia and Sene,love and noir.,06/12/2016,6.6
John Legend,Darkness and Light,05/12/2016,7
Yoko Ono,Unfinished Music No. 1: Two Virgins,05/12/2016,6.8
Coldcut,Only Heaven,05/12/2016,5.2
Joan as Police Woman,Let It Be You,05/12/2016,6.9
Brand New,The Devil and God Are Raging Inside of Me,04/12/2016,8.5
Sun Ra,Singles,03/12/2016,8.7
Dungen,Haxan,03/12/2016,6.9
Mica Levi,Remain Calm,03/12/2016,7.7
Jay Daniel,Broken Knowz,03/12/2016,7.5
R.E.M.,Out of Time,02/12/2016,8.4
Bruno Mars,24K Magic,02/12/2016,6.2
Keita Sano,Keita Sano,02/12/2016,7.4
Tredici Bacci,Amore Per Tutti,02/12/2016,7
Burial,YOUNG DEATH / NIGHTMARKET,01/12/2016,6.9
YG,Red Friday,01/12/2016,7.2
You Blew It!,Abendrot,01/12/2016,7.2
Suzanne Kraft,What You Get for Being Young,01/12/2016,8
The Weeknd,Starboy,30/11/2016,6.7
Various Artist,"PC Music, Volume 2",30/11/2016,6.2
Monster Rally,Mystery Cove,30/11/2016,6.5
Steve Reich,Six Pianos / Keyboard Study #1,30/11/2016,7.2
Justice,Woman,29/11/2016,5.2
Demdike Stare,Wonderland,29/11/2016,8.2
Bully Fae,Defy a Thing to Be,29/11/2016,6.5
Rainbow Arabia,L.A. Heartbreak,29/11/2016,6.5
Kate Bush,Before the Dawn,28/11/2016,8.5
E-40,The D-Boy Diary Books 1 & 2,28/11/2016,6.8
Meredith Monk,On Behalf of Nature,28/11/2016,8.1
Pavo Pavo,Young Narrator in the Breakers,28/11/2016,7.2
Via App,Sixth Stitch,28/11/2016,7.4
Ice Cube,Death Certificate,27/11/2016,9.5
Dawn Richard,Redemption,26/11/2016,8
Oneida,What's Your Sign?,26/11/2016,7.8
Sarah Davachi,Vergers,26/11/2016,7.5
Vicky Chow,A O R T A,26/11/2016,7.3
Gucci Mane,Free Bricks 2: Zone 6 Edition,23/11/2016,6.9
Gillian Welch,Boots No. 1: The Official Revival Bootleg,23/11/2016,7.9
Jeff Rosenstock,WORRY.,23/11/2016,8
Kristin Hersh,Wyatt at the Coyote Palace,23/11/2016,7.5
Metallica,Hardwired...to Self-Destruct,22/11/2016,6.5
Porter Ricks,Shadow Boat EP,22/11/2016,8
Mike Watt,"""ring spiel"" tour '95",22/11/2016,8
Daniel Bachman,Daniel Bachman,22/11/2016,7.3
Autechre,Tri Repetae,21/11/2016,9
Body/Head,No Waves,21/11/2016,7.4
His Name Is Alive,Patterns of Light,21/11/2016,6.6
Radian,On Dark Silent Off,21/11/2016,8
Flasher,Flasher EP,21/11/2016,7.8
Leonard Cohen,I'm Your Man,20/11/2016,9.5
Tinashe,Nightride,19/11/2016,7.8
Various Artist,"The Microcosm: Visionary Music of Continental Europe, 1970-1986",19/11/2016,7.7
Papa M,Highway Songs,19/11/2016,7.4
Yaroze Dream Suite,Yaroze Dream Suite,19/11/2016,6.5
Thee Oh Sees,An Odd Entrances,18/11/2016,6.7
Lorenzo Senni,Persona EP,18/11/2016,7.5
Marching Church,Telling It Like It Is,18/11/2016,6.4
Devonwho,Luz,18/11/2016,6.5
A Tribe Called Quest,We got it from Here... Thank You 4 Your service,17/11/2016,9
Sad13,Slugger,17/11/2016,7.4
J.G. Biberkopf,Ecologies II: Ecosystems of Excess,17/11/2016,6.3
Animals as Leaders,The Madness of Many,17/11/2016,6.4
Washington Phillips,Washington Phillips and His Manzarene Dreams,16/11/2016,8.5
Dedekind Cut,$uccessor (ded004),16/11/2016,8.2
Michael Mayer,&,16/11/2016,7.7
Mantra Percussion,Michael Gordon: Timber Remixed,16/11/2016,6.8
French Montana,MC4,15/11/2016,7
Hart Valley Drifters,Folk Time,15/11/2016,7.8
Emeli Sande,Long Live the Angels,15/11/2016,5.4
Ken Thomson,Restless,15/11/2016,7.9
Philip Glass,The Complete Sony Recordings,14/11/2016,8.6
Bibi Bourelly,Free the Real (Pt. 2),14/11/2016,6.8
Loscil,Monument Builders,14/11/2016,7.4
Peter Stampfel,Holiday for Strings,14/11/2016,7.9
Okkyung Lee,Amalgam,14/11/2016,8
Minutemen,Double Nickles on the Dime,13/11/2016,9.5
Various Artist,Bleed for This OST,12/11/2016,6
The Men,Devil Music,12/11/2016,6.8
Oren Ambarchi,Hubris,12/11/2016,7.5
Jacuzzi Boys,Ping Pong,12/11/2016,6.6
Hudson Mohawke,Ded Sec - Watch Dogs 2 (OST),11/11/2016,7.2
Kool A.D.,Have a Nice Dream,11/11/2016,6
Rachel's,Systems/Layers,11/11/2016,8.5
Helmet,Dead to the World,11/11/2016,6.8
Alicia Keys,HERE,10/11/2016,6.5
Topaz Jones,Arcade,10/11/2016,7.2
Gaika,Spaghetto,10/11/2016,7.8
Uniform,Ghosthouse,10/11/2016,7.2
The Chainsmokers,Collage,09/11/2016,3.5
Tyvek,Origin of What,09/11/2016,7.8
Tim Buckley,"Lady, Give Me Your Key: The Unissued 1967 Solo Acoustic Sessions",09/11/2016,6.3
Mary Halvorson,Away With You,09/11/2016,8
Sleigh Bells,Jessica Rabbit,08/11/2016,5.9
Jeezy,Trap or Die 3,08/11/2016,6
Shirley Collins,Lodestar,08/11/2016,8
Kadhja Bonet,The Visitor,08/11/2016,7.2
Soft Hair,Soft Hair,08/11/2016,6.8
Jim James,Eternally Even,07/11/2016,7.9
A$AP Mob,Cozy Tapes Vol. 1: Friends-,07/11/2016,7.1
Lou Barlow,Apocalypse Fetish,07/11/2016,6.5
Mannequin Pussy,Romantic,07/11/2016,7.6
ABBA,Arrival,06/11/2016,8.6
Fugees,Blunted on Reality,05/11/2016,7.6
Sun Ra,Strange City (CD),05/11/2016,7.3
oddCouple,Liberation,05/11/2016,7.2
The Dean Ween Group,The Deaner Album,05/11/2016,6
Common,Black America Again,04/11/2016,7.9
Ricky Eat Acid,Talk to You Soon,04/11/2016,7.3
Rich the Kid,Keep Flexin,04/11/2016,6.5
Carla dal Forno,You Know What It's Like,04/11/2016,7.4
Pussy Riot,xxx,03/11/2016,6.6
Huerco S.,QTT4,03/11/2016,7.7
Otis Redding,Live at the Whisky A Go Go: the Complete Recordings,03/11/2016,9
The Olympians,The Olympians,03/11/2016,6.8
Meek Mill,DC4,02/11/2016,6.9
Miles Davis Quintet,"Freedom Jazz Dance: The Bootleg Series, Vol. 5",02/11/2016,7.5
Kassem Mosse,Disclosure,02/11/2016,7.9
The Dillinger Escape Plan,Dissociation,02/11/2016,6.9
Public Image Ltd,Metal Box,01/11/2016,10
American Wrestlers,Goodbye Terrible Youth,01/11/2016,7.1
Tove Lo,Lady Wood,01/11/2016,7
Steve Hauschildt,Strands,01/11/2016,7.6
Lambchop,FLOTUS,31/10/2016,8
Roman Flugel,All the Right Noises,31/10/2016,7.8
DJ Rude One,ONEderful,31/10/2016,6.9
Syrinx,Tumblers From The Vault (1970-1972),31/10/2016,8.2
Khemmis,Hunted,31/10/2016,7.6
Bob Dylan,Blood on the Tracks,30/10/2016,10
Joe Budden,Rage & the Machine,29/10/2016,6
Gord Downie,Secret Path,29/10/2016,8
Roy Montgomery,R M H Q: Headquarters,29/10/2016,8.1
Patrick Cowley,Candida Cosmica,29/10/2016,7.6
DRAM,Big Baby D.R.A.M.,28/10/2016,7.8
The Radio Dept.,Running Out of Love,28/10/2016,7.6
Luis,Dreamt Takes,28/10/2016,6.8
Donny McCaslin,Beyond Now,28/10/2016,6.4
Various Artist,Lazarus OST,27/10/2016,6.2
David Crosby,Lighthouse,27/10/2016,6.5
JoJo,Mad Love.,27/10/2016,7
N.M.O.,Nordic Mediterranean Organization / Numerous Miscommunications Occur,27/10/2016,7.5
American Football,American Football,26/10/2016,7.7
Sleaford Mods,T.C.R. EP,26/10/2016,6.7
Jubilee,After Hours,26/10/2016,7.4
Crying,Beyond the Fleeting Gales,26/10/2016,7.1
Lady Gaga,Joanne,25/10/2016,6.9
Tanya Tagaq,Retribution,25/10/2016,8.2
Oval,Popp,25/10/2016,7.5
Jonathan Finlayson & Sicilian Defense,Moving Still,25/10/2016,8.1
Leonard Cohen,You Want It Darker,24/10/2016,8.5
Male Bonding,Headache,24/10/2016,6.8
Savoy Motel,Savoy Motel,24/10/2016,7.4
Oozing Wound,Whatever Forever,24/10/2016,6.6
From Indian Lakes,Everything Feels Better Now,24/10/2016,7
Ramones,End of the Century,23/10/2016,6.4
Jimmy Eat World,Integrity Blues,22/10/2016,7.3
Various Artist,Say Yes! A Tribute to Elliott Smith,22/10/2016,6
Meshuggah,The Violent Sleep of Reason,22/10/2016,6.5
Axis: Sova,Motor Earth,22/10/2016,6.7
Gucci Mane,Woptober,21/10/2016,7.5
Moby & the Void Pacific Choir,These Systems Are Failing,21/10/2016,4
KAG,EP A,21/10/2016,7.2
Gods Wisdom,Self Restraint,21/10/2016,4.9
Kings of Leon,WALLS,20/10/2016,4.5
Katie Gately,Color,20/10/2016,7.3
Jagwar Ma,Every Now & Then,20/10/2016,6.9
Matt Kivel,Fires on the Plain,20/10/2016,7
Weyes Blood,Front Row Seat to Earth,19/10/2016,8.3
Boogie,Thirst 48 Pt. II,19/10/2016,7.8
Powell,Sport,19/10/2016,8.1
WIFE,Standard Nature,19/10/2016,7
NxWorries,Yes Lawd!,18/10/2016,8.2
Regina Spektor,Remember Us to Life,18/10/2016,6.6
Darkthrone,Arctic Thunder,18/10/2016,7.2
Mark Ernestus' Ndagga Rhythm Force,Yermande,18/10/2016,8
Jamie Lidell,Building a Beginning,17/10/2016,6.2
Terry Allen,Lubbock (on everything),17/10/2016,8.5
Mono,Requiem For Hell,17/10/2016,5.9
Wadada Leo Smith,America's National Parks,17/10/2016,7.9
Warehouse,super low,17/10/2016,7.4
Randy Newman,Good Old Boys,16/10/2016,9.3
The Orb,"COW / Chill Out, World!",15/10/2016,6
Lizzo,Coconut Oil,15/10/2016,6.1
